gene,h_cent
CPSF6,0
CPSF7,0
CPT1A,0
CPT2,0
CPVL,0
CRABP1,0
CRADD,0
CRBN,0
CREB3L1,0
CREB3L2,0
CREB5 /// LOC401317,0
CREBBP,0
CREBZF,0
CREM,0
CRHBP,0
CRIM1 /// LOC101929500,0
CRIP2,0
CRIPT,0
CRISPLD2,0
CRKL,0
CRLF1,0
CRNKL1,0
CROCCP3,0
CROT,0
CRTC3,0
CRY2,0
CRYAB,0
CRYL1,0
CRYM,0
CRYZ,0
CRYZL1,0
CS,0
CSAD,0
CSDE1,0
CSE1L,0
CSF3R,0
CSK,0
CSNK1A1,0
CSNK1D,0
CSNK1E,0
CSNK1G3,0
CSRP2,0
CST3,0
CSTF1,0
CSTF2,0
CTAGE5,0
CTGF,0
CTH,0
CTNNA1,0
CTNNB1,0
CTNNBIP1,0
CTNNBL1,0
CTNND1 /// TMX2-CTNND1,0
CTNND2,0
CTR9,0
CTSA,0
CTSB,0
CTSC,0
CTSD,0
CTSL,0
CTSS,0
CTTN,0
CUEDC1,0
CUL2,0
CUL3,0
CUL4B,0
CUL9,0
CWF19L1,0
CXCL12,0
CXCL13,0
CXCL9,0
CXCR2,0
CXXC4,0
CXorf56,0
CYB5A,0
CYB5B,0
CYB5R1,0
CYB5R2,0
CYBA,0
CYBRD1,0
CYCS,0
CYFIP2,0
CYP1B1,0
CYP24A1,0
CYP27A1,0
CYP27B1,0
CYP2E1,0
CYP2R1,0
CYP4F11,0
CYP4F12,0
CYTH1,0
CYTH2,0
CYTIP,0
DAAM1,0
DAAM2,0
DAB2 /// LOC101926921,0
DACH1,0
DAD1,0
DAGLA,0
DAP,0
DAPK1,0
DAPK3 /// MIR637,0
DAPP1,0
DARS,0
DARS2,0
DAZAP1,0
DAZAP2,0
DBNDD1,0
DBNDD2 /// SYS1 /// SYS1-DBNDD2,0
DBP,0
DCAF10,0
DCAF11,0
DCAF13,0
DCAF16,0
DCAF4,0
DCAF8,0
DCAKD,0
DCBLD2,0
DCK,0
DCLRE1B,0
DCLRE1C,0
DCN,0
DCTN1,0
DCTN2,0
DCTN5,0
DCTPP1,0
DCUN1D4,0
DCXR,0
DDAH1,0
DDB1,0
DDB2,0
DDIT3,0
DDIT4,0
DDX23,0
DDX27,0
DDX28,0
DDX3X,0
DDX41,0
DDX42,0
DDX46,0
DDX49,0
DDX5 /// MIR3064 /// MIR5047,0
DDX54,0
DDX58,0
DECR1,0
DEF6,0
DEGS1,0
DENND1B,0
DENND1C,0
DENND4A,0
DENND4B,0
DENR,0
DEPDC5,0
DERL1,0
DERL2,0
DGAT1,0
DGCR8 /// MIR1306,0
DGKA,0
DGKE,0
DGKG,0
DGKH,0
DGKQ,0
DGUOK,0
DHCR7,0
DHRS12,0
DHRS2,0
DHRS3,0
DHRS7,0
DHRS7B,0
DHRS9,0
