id,timepoint,cell_type
cell_884,3,regular
cell_885,4,regular
cell_886,5,regular
cell_887,6,regular
cell_888,7,regular
cell_889,8,regular
cell_890,9,regular
cell_891,0,regular
cell_892,1,regular
cell_893,2,regular
cell_894,3,regular
cell_895,4,regular
cell_896,5,regular
cell_897,6,regular
cell_898,7,regular
cell_899,8,regular
cell_900,9,regular
cell_901,0,regular
cell_902,1,regular
cell_903,2,regular
cell_904,3,regular
cell_905,4,regular
cell_906,5,regular
cell_907,6,regular
cell_908,7,regular
cell_909,8,regular
cell_910,9,regular
cell_911,0,regular
cell_912,1,regular
cell_913,2,regular
cell_914,3,regular
cell_915,4,regular
cell_916,5,regular
cell_917,6,regular
cell_918,7,regular
cell_919,8,regular
cell_920,9,regular
cell_921,0,regular
cell_922,1,regular
cell_923,2,regular
cell_924,3,regular
cell_925,4,regular
cell_926,5,regular
cell_927,6,regular
cell_928,7,regular
cell_929,8,regular
cell_930,9,regular
cell_931,0,regular
cell_932,1,regular
cell_933,2,regular
cell_934,3,regular
cell_935,4,regular
cell_936,5,regular
cell_937,6,regular
cell_938,7,regular
cell_939,8,regular
cell_940,9,regular
cell_941,0,regular
cell_942,1,regular
cell_943,2,regular
cell_944,3,regular
cell_945,4,regular
cell_946,5,regular
cell_947,6,regular
cell_948,7,regular
cell_949,8,regular
cell_950,9,regular
cell_951,0,regular
cell_952,1,regular
cell_953,2,regular
cell_954,3,regular
cell_955,4,regular
cell_956,5,regular
cell_957,6,regular
cell_958,7,regular
cell_959,8,regular
cell_960,9,regular
cell_961,0,regular
cell_962,1,regular
cell_963,2,regular
cell_964,3,regular
cell_965,4,regular
cell_966,5,regular
cell_967,6,regular
cell_968,7,regular
cell_969,8,regular
cell_970,9,regular
cell_971,0,regular
cell_972,1,regular
cell_973,2,regular
cell_974,3,regular
cell_975,4,regular
cell_976,5,regular
cell_977,6,regular
cell_978,7,regular
cell_979,8,regular
cell_980,9,regular
cell_981,0,regular
cell_982,1,regular
cell_983,2,regular
cell_984,3,regular
cell_985,4,regular
cell_986,5,regular
cell_987,6,regular
cell_988,7,regular
cell_989,8,regular
cell_990,9,regular
cell_991,0,regular
cell_992,1,regular
cell_993,2,regular
cell_994,3,regular
cell_995,4,regular
cell_996,5,regular
cell_997,6,regular
cell_998,7,regular
cell_999,8,regular
cell_1000,9,regular
cell_1001,0,regular
cell_1002,1,regular
cell_1003,2,regular
cell_1004,3,regular
cell_1005,4,regular
cell_1006,5,regular
cell_1007,6,regular
cell_1008,7,regular
cell_1009,8,regular
cell_1010,9,regular
cell_1011,0,regular
cell_1012,1,regular
cell_1013,2,regular
cell_1014,3,regular
cell_1015,4,regular
cell_1016,5,regular
cell_1017,6,regular
cell_1018,7,regular
cell_1019,8,regular
cell_1020,9,regular
cell_1021,0,regular
cell_1022,1,regular
cell_1023,2,regular
cell_1024,3,regular
cell_1025,4,regular
cell_1026,5,regular
cell_1027,6,regular
cell_1028,7,regular
cell_1029,8,regular
cell_1030,9,regular
cell_1031,0,regular
cell_1032,1,regular
cell_1033,2,regular
cell_1034,3,regular
cell_1035,4,regular
cell_1036,5,regular
cell_1037,6,regular
cell_1038,7,regular
cell_1039,8,regular
cell_1040,9,regular
cell_1041,0,regular
cell_1042,1,regular
cell_1043,2,regular
cell_1044,3,regular
cell_1045,4,regular
cell_1046,5,regular
cell_1047,6,regular
cell_1048,7,regular
cell_1049,8,regular
cell_1050,9,regular
cell_1051,0,regular
cell_1052,1,regular
cell_1053,2,regular
cell_1054,3,regular
cell_1055,4,regular
cell_1056,5,regular
cell_1057,6,regular
cell_1058,7,regular
cell_1059,8,regular
cell_1060,9,regular
